Date,Close Price,Volume
2020-01-02,72.53852081298828,135480400
2020-01-03,71.83329010009766,146322800
2020-01-06,72.40567016601562,118387200
2020-01-07,72.06514739990234,108872000
2020-01-08,73.22441101074219,132079200
2020-01-09,74.77973937988281,170108400
2020-01-10,74.94880676269531,140644800
2020-01-13,76.550048828125,121532000
2020-01-14,75.51638793945312,161954400
2020-01-15,75.19274139404297,121923600
2020-01-16,76.13465118408203,108829200
2020-01-17,76.97750091552734,137816400
2020-01-21,76.45587158203125,110843200
2020-01-22,76.728759765625,101832400
2020-01-23,77.0982894897461,104472000
2020-01-24,76.87609100341797,146537600
2020-01-27,74.61553192138672,161940000
2020-01-28,76.72637176513672,162234000
2020-01-29,78.33242797851562,216229200
2020-01-30,78.21891021728516,126743200
2020-01-31,74.75078582763672,199588400
2020-02-03,74.54547882080078,173788400
2020-02-04,77.00650787353516,136616400
2020-02-05,77.63443756103516,118826800
2020-02-06,78.54253387451172,105425600
2020-02-07,77.47492218017578,117684000
2020-02-10,77.84291076660156,109348800
2020-02-11,77.37322235107422,94323200
2020-02-12,79.21068572998047,113730400
2020-02-13,78.6466293334961,94747600
2020-02-14,78.6659927368164,80113600
2020-02-18,77.2255859375,152531200
2020-02-19,78.34403228759766,93984000
2020-02-20,77.54027557373047,100566000
2020-02-21,75.78514862060547,129554000
2020-02-24,72.18534088134766,222195200
2020-02-25,69.7402572631836,230673600
2020-02-26,70.84661102294922,198054800
2020-02-27,66.21549224853516,320605600
2020-02-28,66.17676544189453,426510000
2020-03-02,72.3378677368164,341397200
2020-03-03,70.04043579101562,319475600
2020-03-04,73.28924560546875,219178400
2020-03-05,70.91197967529297,187572800
2020-03-06,69.97025299072266,226176800
2020-03-09,64.43617248535156,286744800
2020-03-10,69.07695007324219,285290000
2020-03-11,66.67786407470703,255598800
2020-03-12,60.093116760253906,418474000
2020-03-13,67.29277801513672,370732000
2020-03-16,58.63576126098633,322423600
2020-03-17,61.2139892578125,324056000
2020-03-18,59.7154655456543,300233600
2020-03-19,59.25791931152344,271857200
2020-03-20,55.49589920043945,401693200
2020-03-23,54.31694412231445,336752800
2020-03-24,59.76630401611328,287531200
2020-03-25,59.43706512451172,303602000
2020-03-26,62.5648307800293,252087200
2020-03-27,59.97450637817383,204216800
2020-03-30,61.686038970947266,167976400
2020-03-31,61.56016159057617,197002000
2020-04-01,58.321048736572266,176218400
2020-04-02,59.29423522949219,165934000
2020-04-03,58.44208908081055,129880000
2020-04-06,63.54043197631836,201820400
2020-04-07,62.80448913574219,202887200
2020-04-08,64.41194915771484,168895200
2020-04-09,64.87674713134766,161834800
2020-04-13,66.1501235961914,131022800
2020-04-14,69.49091339111328,194994800
2020-04-15,68.85665893554688,131154400
2020-04-16,69.40377044677734,157125200
2020-04-17,68.46202087402344,215250000
2020-04-20,67.04100036621094,130015200
2020-04-21,64.96875,180991600
2020-04-22,66.84007263183594,116862400
2020-04-23,66.58103942871094,124814400
2020-04-24,68.50318908691406,126161200
2020-04-27,68.5516357421875,117087600
2020-04-28,67.4404525756836,112004800
2020-04-29,69.6555404663086,137280800
2020-04-30,71.1249771118164,183064000
2020-05-01,69.97994232177734,240616800
2020-05-04,70.9700927734375,133568000
2020-05-05,72.03524017333984,147751200
2020-05-06,72.7784423828125,142333600
