Date,Close Price,Volume
2020-01-02,329.80999755859375,4485800
2020-01-03,325.8999938964844,3806900
2020-01-06,335.8299865722656,5663100
2020-01-07,330.75,4703200
2020-01-08,339.260009765625,7104500
2020-01-09,335.6600036621094,4709300
2020-01-10,329.04998779296875,4718300
2020-01-13,338.9200134277344,6290000
2020-01-14,338.69000244140625,7199400
2020-01-15,339.07000732421875,5158000
2020-01-16,338.6199951171875,5016000
2020-01-17,339.6700134277344,6066500
2020-01-21,338.1099853515625,14350300
2020-01-22,326.0,21730000
2020-01-23,349.6000061035156,18200300
2020-01-24,353.1600036621094,17939700
2020-01-27,342.8800048828125,7709500
2020-01-28,348.5199890136719,6821600
2020-01-29,343.1600036621094,7643500
2020-01-30,347.739990234375,5328100
2020-01-31,345.0899963378906,5230000
2020-02-03,358.0,6670600
2020-02-04,369.010009765625,7161500
2020-02-05,369.6700134277344,6437000
2020-02-06,366.95001220703125,3920400
2020-02-07,366.7699890136719,4385200
2020-02-10,371.07000732421875,5294100
2020-02-11,373.69000244140625,4772900
2020-02-12,380.010009765625,4624800
2020-02-13,381.3999938964844,4485400
2020-02-14,380.3999938964844,3736300
2020-02-18,387.7799987792969,5173900
2020-02-19,386.19000244140625,4896400
2020-02-20,386.0,4079400
2020-02-21,380.07000732421875,3930100
2020-02-24,368.70001220703125,6936400
2020-02-25,360.0899963378906,6481200
2020-02-26,379.239990234375,8934100
2020-02-27,371.7099914550781,10967700
2020-02-28,369.0299987792969,11168600
2020-03-02,381.04998779296875,6997900
2020-03-03,368.7699890136719,8364600
2020-03-04,383.7900085449219,5487300
2020-03-05,372.7799987792969,8747000
2020-03-06,368.9700012207031,8147200
2020-03-09,346.489990234375,7405500
2020-03-10,364.1300048828125,7604400
2020-03-11,349.9200134277344,6036000
2020-03-12,315.25,12071600
2020-03-13,336.29998779296875,9458200
2020-03-16,298.8399963378906,10559900
2020-03-17,319.75,10013900
2020-03-18,315.4700012207031,12593600
2020-03-19,332.0299987792969,10616000
2020-03-20,332.8299865722656,10853800
2020-03-23,360.2699890136719,13449400
2020-03-24,357.32000732421875,11638700
2020-03-25,342.3900146484375,8767200
2020-03-26,362.989990234375,7229600
2020-03-27,357.1199951171875,7948800
2020-03-30,370.9599914550781,8622000
2020-03-31,375.5,9366500
2020-04-01,364.0799865722656,6672500
2020-04-02,370.0799865722656,4592500
2020-04-03,361.760009765625,4860800
2020-04-06,379.9599914550781,8183900
2020-04-07,372.2799987792969,7046400
2020-04-08,371.1199951171875,6908900
2020-04-09,370.7200012207031,7711300
